,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
9,58,59,57,59,64,64,60,55,54,61,67,72,58,48,36,38,40,42,46,57,76,74,71,50
27,41,45,48,43,19,9,10,14,20,33,37,41,45,45,48,44,38,34,40,54,65,68,75,76
45,82,69,62,55,66,63,48,24,14,18,19,25,34,48,44,38,38,35,38,38,42,41,45,46
63,53,55,51,45,43,44,43,39,32,35,43,53,60,68,73,71,65,65,70,82,91,98,104,105
81,107,103,93,83,77,74,69,65,66,75,79,91,92,84,75,72,68,65,63,70,76,85,83,84
99,75,70,68,67,65,60,58,65,71,82,83,91,94,89,90,98,86,65,44,43,43,52,63,73
117,65,58,49,51,45,46,38,39,36,47,55,60,55,59,55,57,54,54,53,58,75,85,85,69
135,56,51,54,52,54,53,60,65,74,72,68,64,51,44,33,36,35,45,45,42,44,41,40,28
153,24,23,15,12,8,14,14,20,22,25,23,21,18,15,17,22,21,15,8,13,17,18,11,7
171,3,2,4,8,14,15,7,4,3,9,13,18,24,31,32,30,24,16,14,22,31,29,21,16
189,24,28,30,22,21,17,22,22,32,35,43,51,60,64,54,44,36,36,41,36,36,35,39,41
207,39,45,48,60,65,67,67,54,41,34,41,42,33,26,24,26,24,20,22,22,27,22,20,18
225,18,16,11,11,14,17,20,11,13,13,21,22,22,24,25,33,34,37,32,34,35,40,37,34
243,41,44,46,34,21,17,22,30,32,31,0,15,28,24,16,21,14,14,14,18,21,18,17,13
261,11,10,11,10,10,14,15,20,18,18,16,22,30,29,24,23,23,20,19,31,36,43,35,39
279,34,39,31,31,23,24,27,32,34,34,31,28,24,24,19,22,30,37,34,33,45,48,55,49
297,50,45,44,41,38,34,32,27,25,36,44,49,36,32,31,31,32,31,27,27,31,34,31,31
315,32,30,24,20,12,11,11,17,20,18,21,16,19,23,46,70,87,92,94,99,103,100,90,87
333,80,76,67,72,70,75,77,78,85,81,78,71,60,59,56,63,63,67,80,85,95,99,109,105
351,104,95,88,81,78,75,72,60,50,0,51,69,85,76,58,43,37,30,39,44,48,43,37,41
369,59,54,46,41,33,32,27,26,34,43,49,49,43,31,14,10,16,26,26,25,26,38,40,38
387,31,31,31,28,28,23,24,20,23,23,24,29,24,22,9,12,14,21,21,20,21,23,30,37
405,42,44,37,36,33,40,32,27,22,25,36,44,47,42,34,24,20,19,24,19,21,26,38,44
423,36,34,30,31,34,35,34,26,21,13,7,6,16,21,23,21,17,21,16,16,15,15,16,16
441,13,14,11,11,10,5,11,5,10,9,15,0,21,28,34,35,30,24,25,25,28,24,25,25
459,25,27,24,27,28,29,20,9,4,8,14,22,32,41,44,46,45,43,44,38,39,40,44,53
477,50,55,45,43,35,37,38,34,30,27,28,32,26,28,29,32,34,34,34,28,15,11,13,24
495,35,48,49,43,29,21,18,15,14,5,12,11,10,9,10,17,15,20,24,24,18,15,17,20
513,18,16,20,14,9,4,5,10,5,8,5,15,18,14,10,6,14,8,9,9,9,7,4,4
531,7,5,1,-1,1,1,3,2,4,3,3,4,1,4,5,12,15,16,19,17,14,11,13,16
549,18,16,12,8,3,4,15,16,17,13,21,0,14,22,22,18,20,21,24,24,19,21,19,21
567,21,21,17,14,14,18,16,21,16,14,12,8,12,14,21,21,20,24,15,14,9,15,11,17
585,22,31,24,23,17,21,22,24,14,11,7,12,10,0,10,8,7,8,13,15,14,12,8,12
603,17,18,14,7,10,9,10,6,9,15,20,22,19,15,21,0,20,20,15,19,17,17,21,21
621,18,11,12,17,13,14,8,10,5,9,14,22,25,32,40,40,39,27,27,24,27,28,34,40
639,38,32,24,30,32,34,34,35,30,34,41,49,45,30,30,30,35,26,30,41,54,58,54,58
657,47,51,45,51,44,40,35,35,35,41,49,48,41,0,27,32,28,39,41,54,64,77,70,60
675,45,51,60,57,56,58,57,64,54,52,41,41,44,47,54,54,50,42,29,20,14,21,18,10
693,4,3,1,1,2,7,10,8,4,6,6,6,7,6,8,2,9,7,10,5,10,9,9,11
711,15,15,23,26,29,23,18,19,18,21,23,19,21,19,20,21,26,37,37,43,41,46,38,45
729,70,64,55,41,45,46,50,49,45,45,42,45,44,36,32,25,29,37,34,32,24,36,41,51
747,50,54,60,59,52,28,14,10,8,11,12,14,19,14,15,13,16,24,25,31,24,22,24,24
765,16,10,12,22,17,15,10,9,19,16,-3,24,26,22,18,20,23,23,24,24,22,22,19,21
783,16,24,21,21,16,22,24,22,30,41,45,42,45,57,50,44,39,47,46,45,45,43,34,26
801,32,31,24,10,2,4,2,4,4,5,8,11,14,12,17,13,21,14,18,18,15,14,16,15
819,11,4,10,11,11,12,12,15,14,13,17,21,28,33,42,44,40,32,30,29,21,12,4,7
837,4,11,4,5,5,5,7,3,4,1,9,9,10,8,11,11,11,14,24,24,27,25,27,24
855,24,24,23,19,19,21,15,18,23,28,35,40,40,24,19,21,20,22,24,18,16,11,23,13
873,11,4,12,16,10,9,2,4,1,3,4,6,5,5,7,9,13,12,18,21,24,18,15,14
891,15,14,14,15,21,21,29,25,24,24,30,32,35,40,42,45,41,46,45,55,55,65,64,75
909,79,82,78,73,79,82,92,94,95,92,96,101,107,92,73,0,60,81,85,86,66,69,66,65
927,65,61,66,66,69,131,919,919,919,0,0,908,914,914,914,70,72,82,86,97,98,98,87,76
945,60,52,45,50,51,49,48,42,37,19,10,8,13,14,11,5,10,14,11,4,11,9,13,14
963,21,30,35,36,37,38,44,45,44,46,41,39,36,38,43,50,49,52,49,51,46,47,53,52
981,49,48,45,45,40,47,53,59,63,0,0,35,36,42,47,46,42,40,42,47,47,46,49,54
999,61,65,65,66,67,69,65,64,66,67,69,71,53,60,82,73,63,61,60,65,59,61,54,62
1017,61,63,59,55,52,53,54,56,60,63,64,68,63,63,58,57,54,51,49,56,60,74,82,78
1035,65,53,56,57,52,49,58,50,47,50,65,67,53,46,43,43,34,36,43,52,53,50,55,52
1053,53,51,55,53,52,51,53,53,55,57,66,65,66,62,60,54,47,51,61,63,73,74,85,75
1071,57,41,29,33,36,41,44,45,54,53,48,43,42,35,29,-3,24,29,30,30,30,24,25,24
1089,42,40,44,36,18,14,14,19,18,16,17,17,15,23,21,24,20,24,21,26,24,28,21,23
1107,21,22,26,15,12,3,10,13,19,16,0,631,5,0,12,15,7,10,18,29,34,37,50,51
1125,49,49,43,28,14,12,30,38,45,43,35,40,40,41,34,40,41,49,45,46,40,40,38,32
